SiO2,Al2O3,B2O3,CaO,Na2O,Li2O,MgO,BaO,ZnO,K2O,PbO,SrO,GeO2,ZrO2,TiO2,TeO2,FemOn,P2O5,Tg
68.57657,0,12.50175,0,0,0,0,0,0,18.92169,0,0,0,0,0,0,0,0,649
67.61466,0,13.76343,0,0,0,0,0,0,18.6219,0,0,0,0,0,0,0,0,651
52.38858,0,20.23437,0,0,0,0,0,0,27.37706,0,0,0,0,0,0,0,0,607
42.31515,0,24.51547,0,0,0,0,0,0,33.16938,0,0,0,0,0,0,0,0,510
47.283,0,15.65349,0,0,0,0,0,0,37.06351,0,0,0,0,0,0,0,0,528
40.89631,0,26.98012,0,0,0,0,0,0,32.12357,0,0,0,0,0,0,0,0,528
37.74749,0,32.73005,0,0,0,0,0,0,29.52246,0,0,0,0,0,0,0,0,542
33.98385,0,39.37738,0,0,0,0,0,0,26.63876,0,0,0,0,0,0,0,0,538
61.24691,0,6.792587,0,0,0,0,0,0,31.9605,0,0,0,0,0,0,0,0,566
56.19698,0,14.48146,0,0,0,0,0,0,29.32157,0,0,0,0,0,0,0,0,598
49.92836,0,24.07146,0,0,0,0,0,0,26.00018,0,0,0,0,0,0,0,0,594
49.13414,0,25.28071,0,0,0,0,0,0,25.58515,0,0,0,0,0,0,0,0,586
47.98172,0,26.98974,0,0,0,0,0,0,25.02855,0,0,0,0,0,0,0,0,580
45.77296,0,30.30716,0,0,0,0,0,0,23.91989,0,0,0,0,0,0,0,0,552
43.56687,0,33.62055,0,0,0,0,0,0,22.81257,0,0,0,0,0,0,0,0,538
63.11189,0,12.22258,0,0,0,0,0,0,24.66554,0,0,0,0,0,0,0,0,623
62.54515,0,12.94136,0,0,0,0,0,0,24.51349,0,0,0,0,0,0,0,0,636
75.4046,0,3.835842,0,0,0,0,0,0,20.75955,0,0,0,0,0,0,0,0,576
72.5672,0,7.441084,0,0,0,0,0,0,19.99172,0,0,0,0,0,0,0,0,623
70.80999,0,9.658968,0,0,0,0,0,0,19.53104,0,0,0,0,0,0,0,0,644
70.14994,0,10.6114,0,0,0,0,0,0,19.23866,0,0,0,0,0,0,0,0,668
65.29213,0,16.69472,0,0,0,0,0,0,18.01316,0,0,0,0,0,0,0,0,642
60.5975,0,22.73824,0,0,0,0,0,0,16.66426,0,0,0,0,0,0,0,0,564
59.07346,0,24.70891,0,0,0,0,0,0,16.21764,0,0,0,0,0,0,0,0,542
57.82846,0,26.2564,0,0,0,0,0,0,15.91514,0,0,0,0,0,0,0,0,544
55.83913,0,28.83769,0,0,0,0,0,0,15.32317,0,0,0,0,0,0,0,0,515
51.09843,0,34.77307,0,0,0,0,0,0,14.1285,0,0,0,0,0,0,0,0,496
78.01963,0,16.95038,0,5.029989,0,0,0,0,0,0,0,0,0,0,0,0,0,505
72.5817,0,22.42694,0,4.991361,0,0,0,0,0,0,0,0,0,0,0,0,0,460
71.39654,0,23.62052,0,4.982942,0,0,0,0,0,0,0,0,0,0,0,0,0,460
67.22664,0,27.82003,0,4.953321,0,0,0,0,0,0,0,0,0,0,0,0,0,446
61.9526,0,33.13155,0,4.915858,0,0,0,0,0,0,0,0,0,0,0,0,0,410
81.15425,0,9.916327,0,8.929418,0,0,0,0,0,0,0,0,0,0,0,0,0,594
82.16718,0,7.657772,0,10.17505,0,0,0,0,0,0,0,0,0,0,0,0,0,580
80.38758,0,9.462791,0,10.14963,0,0,0,0,0,0,0,0,0,0,0,0,0,597
73.03111,0,16.92436,0,10.04453,0,0,0,0,0,0,0,0,0,0,0,0,0,580
67.63971,0,22.39278,0,9.967514,0,0,0,0,0,0,0,0,0,0,0,0,0,540
59.70587,0,30.43995,0,9.854173,0,0,0,0,0,0,0,0,0,0,0,0,0,492
57.1427,0,32.44376,0,10.41354,0,0,0,0,0,0,0,0,0,0,0,0,0,498
58.83016,0,30.4317,0,10.73814,0,0,0,0,0,0,0,0,0,0,0,0,0,506
64.21281,0,24.76413,0,11.02306,0,0,0,0,0,0,0,0,0,0,0,0,0,568
75.88081,0,12.7064,0,11.41279,0,0,0,0,0,0,0,0,0,0,0,0,0,592
62.44459,0,26.15915,0,11.39626,0,0,0,0,0,0,0,0,0,0,0,0,0,540
71.03999,0,16.91397,0,12.04604,0,0,0,0,0,0,0,0,0,0,0,0,0,590
59.88777,0,27.75699,0,12.35524,0,0,0,0,0,0,0,0,0,0,0,0,0,541
75.59278,0,11.36057,0,13.04664,0,0,0,0,0,0,0,0,0,0,0,0,0,596
65.41965,0,21.72179,0,12.85856,0,0,0,0,0,0,0,0,0,0,0,0,0,582
67.91513,0,18.7741,0,13.31077,0,0,0,0,0,0,0,0,0,0,0,0,0,591
57.33018,0,29.5609,0,13.10892,0,0,0,0,0,0,0,0,0,0,0,0,0,544
74.9906,0,11.35847,0,13.65093,0,0,0,0,0,0,0,0,0,0,0,0,0,585
77.79234,0,7.986969,0,14.2207,0,0,0,0,0,0,0,0,0,0,0,0,0,563
81.06617,0,4.128882,0,14.80495,0,0,0,0,0,0,0,0,0,0,0,0,0,524
78.99944,0,5.721084,0,15.27947,0,0,0,0,0,0,0,0,0,0,0,0,0,537
76.23203,0,8.548134,0,15.21984,0,0,0,0,0,0,0,0,0,0,0,0,0,562
73.48612,0,11.3532,0,15.16067,0,0,0,0,0,0,0,0,0,0,0,0,0,577
70.7615,0,14.13654,0,15.10196,0,0,0,0,0,0,0,0,0,0,0,0,0,587
64.5209,0,20.51162,0,14.96749,0,0,0,0,0,0,0,0,0,0,0,0,0,592
62.71276,0,22.35871,0,14.92853,0,0,0,0,0,0,0,0,0,0,0,0,0,578
60.43848,0,23.97544,0,15.58607,0,0,0,0,0,0,0,0,0,0,0,0,0,572
47.2538,0,36.46575,0,16.28045,0,0,0,0,0,0,0,0,0,0,0,0,0,522
63.72688,0,19.18965,0,17.08347,0,0,0,0,0,0,0,0,0,0,0,0,0,576
57.6454,0,24.71387,0,17.64073,0,0,0,0,0,0,0,0,0,0,0,0,0,576
68.31128,0,13.56906,0,18.11966,0,0,0,0,0,0,0,0,0,0,0,0,0,569
64.77589,0,16.99178,0,18.23233,0,0,0,0,0,0,0,0,0,0,0,0,0,574
61.47161,0,20.38277,0,18.14563,0,0,0,0,0,0,0,0,0,0,0,0,0,572
52.57061,0,29.51732,0,17.91208,0,0,0,0,0,0,0,0,0,0,0,0,0,563
54.80166,0,26.42098,0,18.77736,0,0,0,0,0,0,0,0,0,0,0,0,0,567
63.02985,0,17.86505,0,19.1051,0,0,0,0,0,0,0,0,0,0,0,0,0,572
74.4514,0,5.713078,0,19.83552,0,0,0,0,0,0,0,0,0,0,0,0,0,518
56.61813,0,23.9471,0,19.43477,0,0,0,0,0,0,0,0,0,0,0,0,0,576
68.48126,0,11.33569,0,20.18305,0,0,0,0,0,0,0,0,0,0,0,0,0,555
64.92022,0,14.99961,0,20.08017,0,0,0,0,0,0,0,0,0,0,0,0,0,572
61.28905,0,18.7357,0,19.97525,0,0,0,0,0,0,0,0,0,0,0,0,0,572
60.12237,0,19.93609,0,19.94155,0,0,0,0,0,0,0,0,0,0,0,0,0,572
52.58208,0,27.69423,0,19.72369,0,0,0,0,0,0,0,0,0,0,0,0,0,567
47.44197,0,32.98285,0,19.57518,0,0,0,0,0,0,0,0,0,0,0,0,0,555
37.39051,0,43.32471,0,19.28477,0,0,0,0,0,0,0,0,0,0,0,0,0,509
60.06818,0,19.27772,0,20.6541,0,0,0,0,0,0,0,0,0,0,0,0,0,571
62.46094,0,16.09562,0,21.44344,0,0,0,0,0,0,0,0,0,0,0,0,0,573
63.23259,0,14.99179,0,21.77562,0,0,0,0,0,0,0,0,0,0,0,0,0,555
57.92852,0,20.36043,0,21.71105,0,0,0,0,0,0,0,0,0,0,0,0,0,571
65.0975,0,12.55266,0,22.34985,0,0,0,0,0,0,0,0,0,0,0,0,0,543
47.56825,0,30.64546,0,21.78629,0,0,0,0,0,0,0,0,0,0,0,0,0,549
41.98706,0,36.40608,0,21.60686,0,0,0,0,0,0,0,0,0,0,0,0,0,534
65.9846,0,11.32695,0,22.68843,0,0,0,0,0,0,0,0,0,0,0,0,0,525
60.62657,0,16.85965,0,22.51379,0,0,0,0,0,0,0,0,0,0,0,0,0,559
55.35037,0,22.30781,0,22.34181,0,0,0,0,0,0,0,0,0,0,0,0,0,575
69.0647,0,7.626932,0,23.30836,0,0,0,0,0,0,0,0,0,0,0,0,0,517
44.26709,0,32.95032,0,22.78259,0,0,0,0,0,0,0,0,0,0,0,0,0,546
45.94417,0,30.3103,0,23.74553,0,0,0,0,0,0,0,0,0,0,0,0,0,545
68.90993,0,5.703324,0,25.38674,0,0,0,0,0,0,0,0,0,0,0,0,0,507
65.32452,0,9.418956,0,25.25652,0,0,0,0,0,0,0,0,0,0,0,0,0,518
63.49181,0,11.31823,0,25.18996,0,0,0,0,0,0,0,0,0,0,0,0,0,523
60.81412,0,14.09317,0,25.09271,0,0,0,0,0,0,0,0,0,0,0,0,0,527
58.15703,0,16.84676,0,24.99621,0,0,0,0,0,0,0,0,0,0,0,0,0,539
56.36185,0,18.70714,0,24.93101,0,0,0,0,0,0,0,0,0,0,0,0,0,546
52.90369,0,22.2909,0,24.80541,0,0,0,0,0,0,0,0,0,0,0,0,0,548
52.07059,0,23.15425,0,24.77515,0,0,0,0,0,0,0,0,0,0,0,0,0,545
45.17235,0,30.30303,0,24.52462,0,0,0,0,0,0,0,0,0,0,0,0,0,547
42.63399,0,32.93358,0,24.43243,0,0,0,0,0,0,0,0,0,0,0,0,0,542
35.13213,0,40.7079,0,24.15997,0,0,0,0,0,0,0,0,0,0,0,0,0,522
48.78807,0,26.04867,0,25.16325,0,0,0,0,0,0,0,0,0,0,0,0,0,545
50.06379,0,24.115,0,25.82122,0,0,0,0,0,0,0,0,0,0,0,0,0,534
58.27916,0,14.96883,0,26.75201,0,0,0,0,0,0,0,0,0,0,0,0,0,517
51.24207,0,22.27941,0,26.47853,0,0,0,0,0,0,0,0,0,0,0,0,0,529
45.60516,0,27.52705,0,26.86779,0,0,0,0,0,0,0,0,0,0,0,0,0,535
45.30935,0,27.63176,0,27.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,535
40.23538,0,32.909,0,26.85561,0,0,0,0,0,0,0,0,0,0,0,0,0,515
54.14695,0,17.92587,0,27.92718,0,0,0,0,0,0,0,0,0,0,0,0,0,519
65.59413,0,5.697488,0,28.70838,0,0,0,0,0,0,0,0,0,0,0,0,0,489
58.5177,0,11.30083,0,30.18147,0,0,0,0,0,0,0,0,0,0,0,0,0,497
53.22927,0,16.82106,0,29.94968,0,0,0,0,0,0,0,0,0,0,0,0,0,504
52.70488,0,17.36842,0,29.92669,0,0,0,0,0,0,0,0,0,0,0,0,0,510
48.02144,0,22.25714,0,29.72142,0,0,0,0,0,0,0,0,0,0,0,0,0,509
42.8924,0,27.61099,0,29.49661,0,0,0,0,0,0,0,0,0,0,0,0,0,508
40.35686,0,30.25766,0,29.38548,0,0,0,0,0,0,0,0,0,0,0,0,0,509
30.40294,0,40.64786,0,28.9492,0,0,0,0,0,0,0,0,0,0,0,0,0,504
62.2851,0,5.691663,0,32.02323,0,0,0,0,0,0,0,0,0,0,0,0,0,475
32.10684,0,32.82571,0,35.06746,0,0,0,0,0,0,0,0,0,0,0,0,0,459
35.66327,0,27.54889,0,36.78784,0,0,0,0,0,0,0,0,0,0,0,0,0,462
45.17658,0,14.9081,0,39.91532,0,0,0,0,0,0,0,0,0,0,0,0,0,437
38.30116,0,22.18994,0,39.5089,0,0,0,0,0,0,0,0,0,0,0,0,0,424
61.45694,0.786505,2.685169,5.1043,11.28295,0,0,4.02126,11.17517,3.487708,0,0,0,0,0,0,0,0,530
60.071,0.78294,2.779915,4.995038,11.04142,0,0,4.003029,12.99942,3.327233,0,0,0,0,0,0,0,0,544
58.25216,0.779592,3.619728,4.887924,10.70987,0,0,3.751446,14.68627,3.313004,0,0,0,0,0,0,0,0,532
